,Unnamed: 0,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,volatility_bbw,volatility_kcw,volatility_dcw,volatility_ui,momentum_rsi
0,2013-02-27,149.89,152.33,149.76,151.91,125.118303814228,147089201.0,0.0,1.0,,,,,
1,2013-02-28,151.9,152.87,151.41,151.61,124.871213490061,126627248.0,0.0,1.0,,,,,
2,2013-03-01,151.09,152.34,150.41,152.11,125.283030697007,170605782.0,0.0,1.0,,,,,
3,2013-03-04,151.76,152.92,151.52,152.92,125.950174572258,97382957.0,0.0,1.0,,,,,
4,2013-03-05,153.66,154.7,153.64,154.29,127.07855371929,121384504.0,0.0,1.0,,,,,
5,2013-03-06,154.84,154.92,154.16,154.5,127.251516946207,94355975.0,0.0,1.0,,,,,
6,2013-03-07,154.7,154.98,154.52,154.78,127.482134582096,85702532.0,0.0,1.0,,,,,
7,2013-03-08,155.46,155.65,154.66,155.44,128.025733295265,123471509.0,0.0,1.0,,,,,
8,2013-03-11,155.32,156.04,155.13,156.03,128.51167759946,83315530.0,0.0,1.0,,,,,
9,2013-03-12,155.92,156.1,155.21,155.68,128.223405554598,105663831.0,0.0,1.0,,,,,
10,2013-03-13,155.76,156.12,155.23,155.9,128.404605125655,92399074.0,0.0,1.0,,,,,
11,2013-03-14,156.31,156.8,155.91,156.73,129.088221689184,127154879.0,0.0,1.0,,,,,
12,2013-03-15,155.85,156.04,155.31,155.83,128.918322382287,138507153.0,0.6937,1.0,,,,,
13,2013-03-18,154.34,155.64,154.2,154.97,128.206843480607,126602593.0,0.0,1.0,,,,0.3471335812705569,61.45800706380657
14,2013-03-19,155.3,155.51,153.59,154.61,127.90901510316,167206228.0,0.0,1.0,,,,0.5011894241097112,57.33740372476313
15,2013-03-20,155.52,155.95,155.26,155.69,128.802500235502,113632993.0,0.0,1.0,,,,0.5290142581802627,64.93335962470836
16,2013-03-21,154.76,155.64,154.1,154.36,127.702189841043,128441488.0,0.0,1.0,,,,0.6657217840938087,52.52963524432212
17,2013-03-22,154.85,155.6,154.73,155.6,128.72804314114,111082225.0,0.0,1.0,,,,0.6930479511554554,60.16904316413769
18,2013-03-25,156.01,156.27,154.35,154.95,128.190297459638,151141333.0,0.0,1.0,,,,0.7566021868896007,55.15806501415181
19,2013-03-26,155.59,156.23,155.42,156.19,129.216150759734,86222901.0,0.0,1.0,154.70499999999998,154.58783333333332,153.28,0.7621850666328585,61.70946158262343
20,2013-03-27,155.26,156.24,155.0,156.19,129.216150759734,99859772.0,0.0,1.0,154.919,154.81166666666667,153.60500000000002,0.7677273489919083,61.70946158262343
21,2013-03-28,156.09,156.85,155.75,156.67,129.613255262997,102819515.0,0.0,1.0,155.172,155.03466666666668,153.63,0.7677955222277658,64.066353944115
22,2013-04-01,156.59,156.91,155.67,156.05,129.100328612949,99146793.0,0.0,1.0,155.369,155.26416666666665,154.215,0.7765022402663684,59.01352101504372
23,2013-04-02,156.61,157.21,156.37,156.82,129.737350420267,101379648.0,0.0,1.0,155.564,155.4815,155.4,0.774184483982435,62.92442003266994
24,2013-04-03,156.91,157.03,154.82,155.23,128.421941753208,153863537.0,0.0,1.0,155.611,155.5556666666667,155.4,0.8199353921013898,51.909655439250905
25,2013-04-04,155.43,156.17,155.09,155.86,128.943141413741,131800661.0,0.0,1.0,155.679,155.61466666666666,155.4,0.8360991427470722,55.25204667178669
26,2013-04-05,153.95,155.35,153.77,155.16,128.364030679815,159608146.0,0.0,1.0,155.698,155.61466666666666,155.4,0.8692205704701281,51.00980656745692
27,2013-04-08,155.27,156.22,154.75,156.21,129.232696780704,86406390.0,0.0,1.0,155.7365,155.6385,155.4,0.8223620357257632,56.41553846420784
28,2013-04-09,156.5,157.32,155.98,156.75,129.679439346875,100762236.0,0.0,1.0,155.77249999999998,155.686,155.45499999999998,0.7387371128828649,58.92571630208288
29,2013-04-10,157.17,158.87,157.13,158.67,131.267857359927,135064585.0,0.0,1.0,155.922,155.81400000000002,156.23000000000002,0.7171342468130836,66.34713594549223
30,2013-04-11,158.7,159.71,158.54,159.19,131.698053905129,110026835.0,0.0,1.0,156.0865,155.98383333333334,156.65,0.5924121196372831,68.03183192407522
31,2013-04-12,158.68,159.04,157.92,158.8,131.375406496228,116234137.0,0.0,1.0,156.19,156.08916666666667,156.65,0.5640117994585232,65.38794344043032
32,2013-04-15,158.0,158.13,155.1,155.12,128.330938637877,216210295.0,0.0,1.0,156.1545,156.10866666666666,156.65,0.8323963286090111,46.87607964972057
33,2013-04-16,156.29,157.49,155.91,157.41,130.225458038861,147215890.0,0.0,1.0,156.2765,156.20866666666666,156.65,0.8796080906261934,55.347735478145744
34,2013-04-17,156.29,156.32,154.28,155.11,128.322665627392,226580070.0,0.0,1.0,156.3015,156.242,156.74,1.1110509109982185,47.20543335874903
35,2013-04-18,155.37,155.41,153.55,154.14,127.520183610381,167415764.0,0.0,1.0,156.224,156.17866666666666,156.63,1.3975530099328066,44.248927866336935
36,2013-04-19,154.5,155.55,154.12,155.48,128.628767015324,149577337.0,0.0,1.0,156.28,156.19616666666667,156.63,1.525670273217823,49.00083069168361
37,2013-04-22,155.78,156.54,154.75,156.17,129.199604738765,106460508.0,0.0,1.0,156.3085,156.22166666666666,156.63,1.6077131247819594,51.30253564042314
